"","date","count"
"1",2021-09-17,8
"2",2021-09-18,29
"3",2021-09-19,39
"4",2021-09-20,33
"5",2021-09-21,38
"6",2021-09-22,30
"7",2021-09-23,43
"8",2021-09-24,41
"9",2021-09-25,26
"10",2021-09-26,18
"11",2021-09-27,47
"12",2021-09-28,34
"13",2021-09-29,30
"14",2021-09-30,37
"15",2021-10-01,29
"16",2021-10-02,17
"17",2021-10-03,24
"18",2021-10-04,51
"19",2021-10-05,34
"20",2021-10-06,27
"21",2021-10-07,33
"22",2021-10-08,41
"23",2021-10-09,10
"24",2021-10-10,15
"25",2021-10-11,32
"26",2021-10-12,37
"27",2021-10-13,44
"28",2021-10-14,7
"29",2021-10-17,12
"30",2021-10-18,33
"31",2021-10-19,30
"32",2021-10-20,46
"33",2021-10-21,37
"34",2021-10-22,37
"35",2021-10-23,27
"36",2021-10-24,32
"37",2021-10-25,57
"38",2021-10-30,4
"39",2021-10-31,106
"40",2021-11-01,115
"41",2021-11-02,144
"42",2021-11-03,169
"43",2021-11-04,172
"44",2021-11-05,158
"45",2021-11-06,92
"46",2021-11-07,81
"47",2021-11-08,145
"48",2021-11-09,177
"49",2021-11-10,214
"50",2021-11-11,191
"51",2021-11-12,172
"52",2021-11-13,104
"53",2021-11-14,124
"54",2021-11-15,200
"55",2021-11-16,210
"56",2021-11-17,240
"57",2021-11-18,219
"58",2021-11-19,293
"59",2021-11-20,181
"60",2021-11-21,145
"61",2021-11-22,217
"62",2021-11-28,93
"63",2021-11-29,173
"64",2021-11-30,160
"65",2021-12-01,148
"66",2021-12-02,168
"67",2021-12-03,156
"68",2021-12-04,123
"69",2021-12-05,97
"70",2021-12-06,179
"71",2021-12-07,191
"72",2021-12-08,164
"73",2021-12-09,162
"74",2021-12-10,112
"75",2021-12-11,85
"76",2021-12-12,81
"77",2021-12-13,111
"78",2021-12-14,142
"79",2021-12-15,27
"80",2021-12-20,139
"81",2021-12-21,155
"82",2021-12-22,124
"83",2021-12-23,110
"84",2021-12-24,82
"85",2021-12-25,65
"86",2021-12-26,91
"87",2021-12-27,106
"88",2021-12-28,96
"89",2021-12-29,127
"90",2021-12-30,89
"91",2021-12-31,74
"92",2022-01-01,77
"93",2022-01-02,90
"94",2022-01-03,113
"95",2022-01-04,133
"96",2022-01-05,140
"97",2022-01-06,101
"98",2022-01-07,160
"99",2022-01-08,74
"100",2022-01-09,92
"101",2022-01-10,149
"102",2022-01-11,200
"103",2022-01-12,142
"104",2022-01-13,135
"105",2022-01-14,162
"106",2022-01-15,115
"107",2022-01-16,96
"108",2022-01-17,149
"109",2022-01-29,107
"110",2022-01-30,89
"111",2022-01-31,121
"112",2022-02-01,117
"113",2022-02-02,153
"114",2022-02-03,107
"115",2022-02-04,104
"116",2022-02-05,62
"117",2022-02-06,41
"118",2022-02-07,101
"119",2022-02-08,85
"120",2022-02-09,90
"121",2022-02-10,112
"122",2022-02-11,78
"123",2022-02-12,44
"124",2022-02-13,37
"125",2022-02-14,60
"126",2022-02-15,59
"127",2022-02-16,95
"128",2022-02-17,70
"129",2022-02-18,63
"130",2022-02-19,30
"131",2022-02-20,43
"132",2022-02-21,77
"133",2022-02-22,75
"134",2022-02-23,71
"135",2022-02-24,122
"136",2022-02-25,58
"137",2022-02-26,52
"138",2022-02-27,55
"139",2022-02-28,83
"140",2022-03-01,70
"141",2022-03-02,81
"142",2022-03-03,107
"143",2022-03-04,77
"144",2022-03-05,48
"145",2022-03-06,51
"146",2022-03-07,76
"147",2022-03-08,59
"148",2022-03-09,43
"149",2022-03-10,49
"150",2022-03-11,50
"151",2022-03-12,45
"152",2022-03-13,26
"153",2022-03-14,39
"154",2022-03-15,38
"155",2022-03-16,1
"156",2022-03-19,4
"157",2022-03-20,22
"158",2022-03-21,44
"159",2022-03-22,54
"160",2022-03-23,55
"161",2022-03-24,50
"162",2022-03-25,46
"163",2022-03-26,33
"164",2022-03-27,47
"165",2022-03-30,42
"166",2022-03-31,62
"167",2022-04-01,56
"168",2022-04-02,51
"169",2022-04-03,47
"170",2022-04-04,54
"171",2022-04-05,71
"172",2022-04-06,40
"173",2022-04-07,60
"174",2022-04-08,41
"175",2022-04-09,19
